case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review
C-30000,Calder Central,2,45-59,English,Private tenancy,2024-11-13,Active,,1026.76,0,3,0
C-30001,Weybridge,1,30-44,English,Private tenancy,2023-10-21,Active,,497.45,0,0,0
C-30002,Northgate,2,45-59,English,No fixed abode,2025-02-02,Active,,531.45,1,4,19
C-30003,Weybridge,2,60-74,Spanish,Owner-occupier,2024-10-06,Active,,926.43,1,7,6
C-30004,Weybridge,1,30-44,English,No fixed abode,2023-03-19,Active,,514.36,1,0,20
C-30005,Northgate,1,18-29,English,No fixed abode,2022-10-11,Active,,612.77,2,1,21
C-30006,Calder Central,2,45-59,English,Resident with family,2025-01-02,Active,,979.71,1,2,21
C-30007,Weybridge,1,60-74,English,Social tenancy,2023-04-27,Active,,651.1,0,4,9
C-30008,Weybridge,5,45-59,English,Resident with family,2024-02-01,Active,,1259.96,2,3,23
C-30009,Northgate,5,30-44,English,Social tenancy,2023-04-13,Active,,1103.89,2,2,8
C-30010,Weybridge,3,45-59,Other,Social tenancy,2022-09-04,Active,,1044.93,0,3,10
C-30011,Ash Hill,4,30-44,English,Social tenancy,2025-07-11,Active,,1165.09,1,1,11
C-30012,Northgate,1,60-74,Other,Social tenancy,2024-08-24,Active,,597.11,1,4,5
C-30013,Weybridge,3,75+,Spanish,Resident with family,2024-09-10,Active,,1134.11,0,5,0
C-30014,Northgate,2,45-59,English,Resident with family,2021-03-13,Active,,537.48,0,1,23
C-30015,Weybridge,1,45-59,English,No fixed abode,2023-11-28,Active,,550.26,0,1,18
C-30016,Northgate,3,75+,Other,No fixed abode,2023-10-16,Closed,2025-07,1034.77,4,1,14
C-30017,Northgate,3,60-74,Spanish,Private tenancy,2024-06-23,Active,,1058.06,2,3,22
C-30018,Weybridge,4,30-44,English,Social tenancy,2021-04-21,Active,,740.23,1,0,1
C-30019,Weybridge,2,45-59,English,Private tenancy,2024-02-27,Active,,616.66,0,2,17
C-30020,Ash Hill,2,18-29,Other,Owner-occupier,2024-01-10,Active,,934.22,1,5,3
C-30021,Weybridge,1,45-59,Other,Owner-occupier,2022-04-23,Active,,703.51,0,3,1
C-30022,Calder Central,3,75+,Other,No fixed abode,2021-08-15,Active,,1193.15,2,7,20
C-30023,Ash Hill,3,45-59,English,Social tenancy,2024-10-06,Active,,703.54,2,2,11
C-30024,Calder Central,2,45-59,English,Owner-occupier,2024-07-06,Active,,619.41,1,3,4
C-30025,Northgate,2,45-59,Spanish,Resident with family,2021-09-26,Active,,793.42,0,3,6
C-30026,Calder Central,4,75+,Other,No fixed abode,2023-11-18,Active,,916.32,1,3,9
C-30027,Northgate,5,18-29,English,Resident with family,2022-01-17,Active,,1288.99,0,2,6
C-30028,Weybridge,2,30-44,English,Social tenancy,2024-07-08,Active,,698.65,0,2,19
C-30029,Northgate,3,60-74,English,Resident with family,2024-11-20,Active,,777.8,1,2,20
C-30030,Ash Hill,4,75+,English,Social tenancy,2021-01-03,Active,,1350.44,0,3,12
C-30031,Ash Hill,3,30-44,Spanish,Social tenancy,2021-07-12,Active,,1215.63,1,6,10
C-30032,Weybridge,1,18-29,English,Private tenancy,2023-09-29,Active,,450.77,1,1,6
C-30033,Weybridge,4,45-59,English,Owner-occupier,2024-01-24,Active,,1346.21,1,0,23
C-30034,Weybridge,1,30-44,Spanish,No fixed abode,2025-02-17,Active,,397.09,1,6,1
C-30035,Weybridge,2,30-44,Spanish,Social tenancy,2021-08-26,Active,,860.5,5,3,13
C-30036,Calder Central,2,30-44,English,Resident with family,2025-03-31,Active,,685.22,2,1,8
C-30037,Northgate,3,18-29,Spanish,Private tenancy,2022-12-30,Active,,1149.77,2,5,5
C-30038,Calder Central,3,45-59,English,Social tenancy,2025-08-23,Active,,753.29,1,0,19
C-30039,Calder Central,4,45-59,English,Resident with family,2025-04-13,Active,,885.24,1,6,16
C-30040,Calder Central,2,30-44,English,Resident with family,2024-03-11,Active,,911.64,0,2,6
C-30041,Northgate,4,18-29,English,Resident with family,2023-08-20,Active,,1281.41,1,3,22
C-30042,Calder Central,3,18-29,English,Resident with family,2022-07-13,Active,,798.88,0,2,19
C-30043,Calder Central,2,60-74,Other,Resident with family,2024-03-13,Active,,651.9,3,2,1
C-30044,Northgate,2,45-59,English,Owner-occupier,2021-02-24,Active,,671.2,1,1,20
C-30045,Calder Central,1,45-59,Other,Private tenancy,2025-07-09,Active,,578.59,0,3,5
C-30046,Northgate,2,60-74,Spanish,No fixed abode,2025-05-09,Active,,750.96,1,2,8
C-30047,Weybridge,2,18-29,Spanish,Owner-occupier,2022-03-07,Active,,625.73,1,3,11
C-30048,Weybridge,4,75+,Spanish,Private tenancy,2022-08-23,Active,,913.03,1,2,21
C-30049,Weybridge,2,75+,Other,Resident with family,2025-06-20,Active,,650.13,0,3,20
