payment_id,case_id,pay_month,amount,method,adjustment
P-123284,C-33951,2025-09,639.06,Transfer,N
P-118948,C-33218,2025-10,959.03,Transfer,N
P-103636,C-30614,2025-12,951.07,Transfer,N
P-111799,C-31999,2025-07,605.32,Transfer,N
P-105569,C-30943,2025-09,901.12,Transfer,N
P-103818,C-30646,2025-10,849.79,Card,N
P-111342,C-31919,2025-12,608.89,Transfer,N
P-106701,C-31136,2025-09,864.86,Card,N
P-118294,C-33104,2025-11,456.12,Transfer,Y
P-112645,C-32143,2025-09,715.48,Transfer,N
P-105215,C-30883,2025-12,755.17,Card,N
P-100160,C-30027,2025-10,1217.18,Transfer,N
P-120796,C-33531,2025-07,882.41,Transfer,N
P-105522,C-30935,2025-10,566.0,Transfer,N
P-106099,C-31034,2025-09,498.4,Card,Y
P-123559,C-33997,2025-10,871.71,Card,N
P-122686,C-33851,2025-07,1018.51,Card,Y
P-119882,C-33377,2025-09,723.01,Transfer,N
P-114571,C-32472,2025-10,999.0,Transfer,N
P-111511,C-31949,2025-07,1320.82,Transfer,N
P-105959,C-31011,2025-07,1489.14,Transfer,N
P-123378,C-33967,2025-07,422.43,Transfer,N
P-104042,C-30683,2025-12,1283.53,Transfer,N
P-105214,C-30883,2025-11,768.4,Transfer,N
P-100225,C-30038,2025-09,644.87,Transfer,N
P-120605,C-33498,2025-08,1094.55,Transfer,N
P-101778,C-30301,2025-09,650.89,Transfer,N
P-117805,C-33021,2025-09,892.21,Transfer,N
P-116050,C-32721,2025-12,960.02,Transfer,N
P-106011,C-31019,2025-11,490.89,Card,N
P-119299,C-33278,2025-08,611.97,Transfer,N
P-102766,C-30469,2025-08,876.83,Transfer,N
P-120773,C-33527,2025-08,656.74,Transfer,N
P-100475,C-30081,2025-08,914.05,Card,N
P-100532,C-30090,2025-11,999.42,Transfer,N
P-120735,C-33520,2025-12,1213.93,Transfer,Y
P-123401,C-33970,2025-12,835.44,Transfer,Y
P-120509,C-33481,2025-11,1115.31,Transfer,N
P-108436,C-31427,2025-12,632.15,Transfer,N
P-109888,C-31673,2025-10,782.78,Card,Y
P-120425,C-33467,2025-11,974.66,Card,N
P-100076,C-30012,2025-11,462.73,Card,Y
P-118756,C-33185,2025-09,1109.06,Transfer,N
P-110769,C-31822,2025-10,1064.13,Transfer,N
P-102845,C-30482,2025-09,641.18,Card,N
P-111902,C-32016,2025-11,1154.11,Transfer,N
P-123862,C-34048,2025-11,664.32,Transfer,Y
P-111684,C-31979,2025-12,993.39,Card,N
P-108166,C-31382,2025-10,287.89,Transfer,N
P-124590,C-34172,2025-09,518.97,Card,N
P-114142,C-32399,2025-07,689.45,Card,N
P-122910,C-33888,2025-09,985.18,Transfer,N
P-104234,C-30717,2025-11,980.97,Transfer,N
P-112840,C-32177,2025-09,1111.76,Transfer,N
P-120091,C-33412,2025-07,707.02,Transfer,N
P-114381,C-32439,2025-11,1150.83,Transfer,N
P-120843,C-33539,2025-09,1022.2,Transfer,N
P-109765,C-31653,2025-07,744.93,Transfer,N
P-120589,C-33495,2025-10,1326.11,Transfer,N
P-116320,C-32766,2025-11,894.19,Transfer,N
P-110222,C-31729,2025-11,529.33,Transfer,N
P-109987,C-31690,2025-07,743.98,Card,N
P-116113,C-32732,2025-09,1097.64,Card,N
P-124113,C-34091,2025-12,442.0,Transfer,Y
P-102560,C-30434,2025-10,658.83,Transfer,N
P-102546,C-30432,2025-08,480.62,Transfer,N
P-110082,C-31706,2025-09,515.33,Transfer,N
P-110597,C-31793,2025-10,636.61,Transfer,N
P-124156,C-34099,2025-07,1002.26,Transfer,N
P-120537,C-33486,2025-09,1185.33,Transfer,N
P-117291,C-32933,2025-08,722.28,Transfer,N
P-104335,C-30734,2025-09,1128.93,Transfer,Y
P-109536,C-31614,2025-11,796.09,Transfer,Y
P-110857,C-31837,2025-08,420.68,Transfer,N
P-106861,C-31163,2025-07,455.56,Transfer,N
P-113082,C-32220,2025-07,587.87,Transfer,N
P-105315,C-30901,2025-07,730.64,Transfer,Y
P-102420,C-30409,2025-09,976.78,Transfer,Y
P-103756,C-30635,2025-11,758.32,Transfer,N
P-124508,C-34158,2025-07,958.52,Card,Y
P-107105,C-31203,2025-11,667.94,Transfer,N
P-123138,C-33926,2025-11,554.76,Transfer,N
P-119666,C-33341,2025-08,954.15,Transfer,N
P-112070,C-32045,2025-11,579.27,Transfer,Y
P-100581,C-30099,2025-09,616.47,Transfer,N
P-101256,C-30212,2025-12,931.3,Transfer,N
P-112799,C-32170,2025-12,729.21,Transfer,Y
P-104634,C-30785,2025-08,495.67,Transfer,N
P-121307,C-33618,2025-09,938.34,Transfer,N
P-108714,C-31475,2025-08,866.17,Card,N
P-116784,C-32846,2025-10,668.15,Card,N
P-111300,C-31912,2025-12,796.83,Card,N
P-118381,C-33119,2025-12,376.34,Transfer,N
P-118498,C-33139,2025-11,716.98,Transfer,N
P-100260,C-30044,2025-08,709.87,Transfer,N
P-101428,C-30241,2025-11,523.63,Transfer,N
P-110066,C-31703,2025-12,627.07,Transfer,N
P-104932,C-30836,2025-07,1032.78,Card,N
P-119196,C-33261,2025-07,892.89,Transfer,N
P-101872,C-30317,2025-08,836.6,Card,N
P-119171,C-33256,2025-08,1005.0,Transfer,N
P-102664,C-30452,2025-08,1196.3,Transfer,N
P-105258,C-30891,2025-08,1182.04,Transfer,N
P-103923,C-30664,2025-07,1175.39,Transfer,N
P-124143,C-34096,2025-12,631.67,Transfer,N
P-108060,C-31364,2025-12,1243.14,Transfer,N
P-112061,C-32044,2025-08,754.23,Transfer,N
P-105547,C-30939,2025-11,1455.26,Transfer,N
P-124593,C-34172,2025-12,546.96,Transfer,N
P-122656,C-33846,2025-07,950.09,Transfer,N
P-115011,C-32547,2025-09,908.89,Transfer,N
P-111186,C-31892,2025-11,797.17,Transfer,Y
P-104584,C-30776,2025-12,734.16,Card,Y
P-121394,C-33632,2025-10,507.13,Transfer,Y
P-113330,C-32261,2025-10,514.86,Transfer,N
P-105864,C-30995,2025-08,526.54,Transfer,N
P-111326,C-31917,2025-08,568.53,Transfer,N
P-101932,C-30327,2025-08,526.66,Transfer,N
P-113523,C-32293,2025-11,763.31,Transfer,Y
P-121565,C-33661,2025-12,1066.96,Card,N
P-103937,C-30666,2025-09,634.43,Card,N
P-123081,C-33917,2025-08,810.77,Transfer,N
P-101895,C-30321,2025-07,991.62,Transfer,Y
P-111152,C-31887,2025-07,549.96,Transfer,N
P-101445,C-30244,2025-10,735.54,Transfer,N
P-107125,C-31207,2025-07,632.42,Card,N
P-117475,C-32965,2025-08,303.74,Transfer,N
P-108640,C-31463,2025-07,636.06,Transfer,Y
P-117213,C-32919,2025-09,677.38,Transfer,N
P-101817,C-30307,2025-12,776.02,Transfer,N
