case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review,payment_count,total_paid,average_payment,maximum_payment,minimum_payment,payment_std,adjustment_payment_count,needs_figure,average_payment_to_award_ratio,maximum_payment_to_award_ratio,payment_variability,adjustment_rate,award_to_needs_ratio,unusual_payment_count,first_month_payment,last_month_payment,first_to_last_change,first_to_last_change_pct,high_payment_months,months_above_award,largest_monthly_increase,largest_monthly_decrease,risk_score,average_ratio_score,maximum_ratio_score,high_month_score,above_award_score,variability_score,administrative_activity_flag,administrative_context,final_risk_score,investigator_context,rank
C-31298,Ash Hill,4,30-44,Spanish,Private tenancy,2022-09-16,Active,0,746.45,3,5,8,6,11983.26,1997.21,2211.51,1749.02,201.42625588537354,1,2330,2.6756112264719674,2.9627034630584768,0.10085381902021998,0.16666666666666666,0.3203648068669528,0,2057.64,2019.87,-37.76999999999998,-0.018355980638012474,6,6,462.49000000000024,-435.67999999999984,88.66,25.0,19.63,25.0,15.0,4.03,0,,88.66,No strong administrative-activity warning detected.,1
C-32400,Northgate,1,60-74,English,No fixed abode,2022-12-27,Active,0,405.4,1,2,8,6,6046.03,1007.6716666666666,1162.24,959.83,77.69740418229343,2,1240,2.4856232527544813,2.8668968919585596,0.07710587362182467,0.3333333333333333,0.3269354838709677,0,966.35,997.51,31.159999999999968,0.032245045790862494,6,6,202.40999999999997,-164.73000000000002,86.51,24.76,18.67,25.0,15.0,3.08,0,,86.51,No strong administrative-activity warning detected.,2
C-33743,Calder Central,3,60-74,English,Resident with family,2023-10-24,Active,0,654.1,2,5,9,6,9868.07,1644.6783333333333,1825.22,1466.9,130.95812650105626,1,2000,2.514414207817357,2.790429597920807,0.07962537345259382,0.16666666666666666,0.32705,0,1570.52,1643.15,72.63000000000011,0.04624582940682074,6,6,296.05999999999995,-225.9000000000001,86.09,25.0,17.9,25.0,15.0,3.19,0,,86.09,No strong administrative-activity warning detected.,3
C-32995,Calder Central,4,60-74,English,Resident with family,2021-01-06,Active,0,778.27,1,5,10,6,11332.8,1888.8,2106.5,1724.76,143.37069979601824,2,2330,2.426921248409935,2.7066442237269843,0.07590570721940822,0.3333333333333333,0.3340214592274678,0,2011.58,1724.76,-286.81999999999994,-0.14258443611489474,6,6,266.55999999999995,-319.3900000000001,83.88,23.78,17.07,25.0,15.0,3.04,0,,83.88,No strong administrative-activity warning detected.,4
C-34050,Weybridge,1,45-59,English,No fixed abode,2023-05-16,Active,0,437.44,1,4,23,6,6343.93,1057.3216666666667,1159.91,912.92,80.87024506372335,1,1240,2.417066721531334,2.65158650329188,0.07648594331626296,0.16666666666666666,0.35277419354838707,0,1062.01,912.92,-149.09000000000003,-0.14038474213990454,6,6,97.07000000000016,-140.56000000000006,83.19,23.62,16.52,25.0,15.0,3.06,0,,83.19,No strong administrative-activity warning detected.,5
C-32502,Calder Central,1,45-59,English,Private tenancy,2021-01-04,Active,0,435.04,0,3,17,6,6082.360000000001,1013.7266666666668,1172.97,914.51,97.03503463526289,0,1240,2.33019185975236,2.6962348289812432,0.09572110296193867,0.0,0.35083870967741937,0,914.51,971.7,57.190000000000055,0.06253622158314294,6,6,258.46000000000004,-124.70999999999992,82.96,22.17,16.96,25.0,15.0,3.83,0,,82.96,No strong administrative-activity warning detected.,6
C-32367,Calder Central,1,60-74,English,Private tenancy,2021-07-07,Active,0,445.39,1,4,0,6,6112.2300000000005,1018.705,1093.73,911.58,72.74343262453317,2,1240,2.287220189047801,2.4556680661891828,0.07140775064865017,0.3333333333333333,0.3591854838709677,0,1015.84,1093.73,77.88999999999999,0.07667546070247282,6,6,182.14999999999998,-133.01,78.87,21.45,14.56,25.0,15.0,2.86,0,,78.87,No strong administrative-activity warning detected.,7
C-31396,Northgate,2,30-44,English,No fixed abode,2023-10-25,Active,0,617.44,3,5,4,6,8299.85,1383.3083333333334,1461.12,1300.19,63.989038253959244,2,1670,2.2403931286170855,2.3664161699922257,0.04625797207464658,0.3333333333333333,0.3697245508982036,0,1321.94,1461.12,139.17999999999984,0.10528465739746118,6,6,97.99000000000001,-76.0,76.19,20.67,13.66,25.0,15.0,1.85,0,,76.19,No strong administrative-activity warning detected.,8
C-33379,Northgate,2,30-44,English,Resident with family,2024-11-15,Active,0,625.25,1,1,0,6,8233.23,1372.205,1446.94,1219.59,89.52485839139877,2,1670,2.1946501399440224,2.3141783286685325,0.06524160631348724,0.3333333333333333,0.3744011976047904,0,1416.88,1314.05,-102.83000000000015,-0.0725749534187794,6,6,94.46000000000004,-227.35000000000014,75.66,19.91,13.14,25.0,15.0,2.61,0,,75.66,No strong administrative-activity warning detected.,9
C-30644,Ash Hill,4,45-59,English,Social tenancy,2025-01-17,Suspended,0,902.73,3,6,13,6,11216.56,1869.4266666666665,2080.89,1692.58,167.0256523611467,3,2330,2.0708591346988205,2.305107839553355,0.0893459237205418,0.5,0.38743776824034337,0,2074.46,1786.9,-287.55999999999995,-0.1386192069261398,6,6,132.22000000000003,-323.9599999999998,74.47,17.85,13.05,25.0,15.0,3.57,1,6 contact attempts,74.47,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,10
C-33201,Calder Central,4,60-74,Spanish,Private tenancy,2022-04-16,Active,0,977.78,2,6,19,6,11343.16,1890.5266666666666,2189.45,1686.98,234.56715683715535,2,2330,1.933488787525483,2.2392051381701403,0.12407503209184496,0.3333333333333333,0.41964806866952786,0,2189.45,2159.42,-30.029999999999745,-0.013715773367740642,6,6,254.28999999999996,-484.2999999999997,72.91,15.56,12.39,25.0,15.0,4.96,1,6 contact attempts,72.91,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,11
C-30954,Ash Hill,3,60-74,English,Social tenancy,2025-08-04,Active,0,834.54,1,2,3,6,10377.74,1729.6233333333332,1859.51,1533.71,115.58158601899643,1,2000,2.0725469520134845,2.2281855872696337,0.06682471483328534,0.16666666666666666,0.41727,0,1774.41,1859.51,85.09999999999991,0.047959603473830686,6,6,228.75,-125.33999999999992,72.83,17.88,12.28,25.0,15.0,2.67,0,,72.83,No strong administrative-activity warning detected.,12
C-32368,Ash Hill,1,75+,English,Private tenancy,2023-11-12,Active,0,528.79,2,0,17,6,6372.28,1062.0466666666666,1142.21,961.78,75.05712189170771,3,1240,2.008446957519368,2.1600446301934606,0.07067215052543929,0.5,0.42644354838709675,0,1078.86,1142.21,63.350000000000136,0.058719388984669135,6,6,144.53999999999996,-126.61000000000013,71.23,16.81,11.6,25.0,15.0,2.83,0,,71.23,No strong administrative-activity warning detected.,13
C-31956,Weybridge,1,30-44,English,Private tenancy,2021-10-19,Active,0,552.7,2,1,7,6,6213.0599999999995,1035.51,1168.77,927.78,88.21974064799785,1,1240,1.8735480369097157,2.1146553283879137,0.08519448450328616,0.16666666666666666,0.4457258064516129,0,955.2,927.78,-27.420000000000073,-0.028706030150753844,6,6,213.56999999999994,-162.22000000000003,69.11,14.56,11.15,25.0,15.0,3.41,0,,69.11,No strong administrative-activity warning detected.,14
