case_id,risk_score,final_risk_score,payment_adjustments,contact_attempts,administrative_activity_flag,administrative_context,investigator_context
C-31298,88.66,88.66,3,5,0,,No strong administrative-activity warning detected.
C-32400,86.51,86.51,1,2,0,,No strong administrative-activity warning detected.
C-33743,86.09,86.09,2,5,0,,No strong administrative-activity warning detected.
C-32995,83.88,83.88,1,5,0,,No strong administrative-activity warning detected.
C-34050,83.19,83.19,1,4,0,,No strong administrative-activity warning detected.
C-32502,82.96,82.96,0,3,0,,No strong administrative-activity warning detected.
C-32367,78.87,78.87,1,4,0,,No strong administrative-activity warning detected.
C-31396,76.19,76.19,3,5,0,,No strong administrative-activity warning detected.
C-33379,75.66,75.66,1,1,0,,No strong administrative-activity warning detected.
C-30644,74.47,74.47,3,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33201,72.91,72.91,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30954,72.83,72.83,1,2,0,,No strong administrative-activity warning detected.
C-32368,71.23,71.23,2,0,0,,No strong administrative-activity warning detected.
C-31956,69.11,69.11,2,1,0,,No strong administrative-activity warning detected.
C-33263,66.96,66.96,3,5,0,,No strong administrative-activity warning detected.
C-32671,66.26,66.26,2,3,0,,No strong administrative-activity warning detected.
C-32724,66.09,66.09,1,4,0,,No strong administrative-activity warning detected.
C-33181,65.96,65.96,4,2,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32962,65.65,65.65,3,3,0,,No strong administrative-activity warning detected.
C-31550,65.62,65.62,1,4,0,,No strong administrative-activity warning detected.
C-31668,62.58,62.58,3,4,0,,No strong administrative-activity warning detected.
C-31131,62.55,62.55,3,5,0,,No strong administrative-activity warning detected.
C-31802,61.0,61.0,1,4,0,,No strong administrative-activity warning detected.
C-34118,58.41,58.41,0,5,0,,No strong administrative-activity warning detected.
C-34180,57.86,57.86,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32492,56.75,56.75,2,2,0,,No strong administrative-activity warning detected.
C-33393,56.73,56.73,2,4,0,,No strong administrative-activity warning detected.
C-32431,47.0,47.0,1,2,0,,No strong administrative-activity warning detected.
C-31485,45.49,45.49,1,4,0,,No strong administrative-activity warning detected.
C-33360,44.48,44.48,2,2,0,,No strong administrative-activity warning detected.
C-32340,35.18,35.18,1,2,0,,No strong administrative-activity warning detected.
C-32322,34.72,34.72,4,7,1,4 payment adjustments and 7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31431,29.06,29.06,2,0,0,,No strong administrative-activity warning detected.
C-32404,28.77,28.77,4,0,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32133,28.76,28.76,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33980,28.6,28.6,5,6,1,5 payment adjustments and 6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33495,28.41,28.41,2,4,0,,No strong administrative-activity warning detected.
C-33209,26.7,26.7,2,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33024,26.22,26.22,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32252,25.37,25.37,1,8,1,8 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32175,24.03,24.03,1,4,0,,No strong administrative-activity warning detected.
C-33122,22.76,22.76,1,3,0,,No strong administrative-activity warning detected.
C-30720,22.48,22.48,2,4,0,,No strong administrative-activity warning detected.
C-34157,22.26,22.26,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30333,20.93,20.93,1,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30095,20.82,20.82,1,4,0,,No strong administrative-activity warning detected.
C-31348,20.59,20.59,2,5,0,,No strong administrative-activity warning detected.
C-32799,20.08,20.08,3,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32190,19.54,19.54,3,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30834,19.21,19.21,0,3,0,,No strong administrative-activity warning detected.
C-31624,19.11,19.11,3,3,0,,No strong administrative-activity warning detected.
C-32035,19.08,19.08,3,5,0,,No strong administrative-activity warning detected.
C-30263,19.02,19.02,4,2,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33941,18.96,18.96,0,3,0,,No strong administrative-activity warning detected.
C-33630,18.74,18.74,2,1,0,,No strong administrative-activity warning detected.
C-32819,18.61,18.61,1,3,0,,No strong administrative-activity warning detected.
C-31898,18.57,18.57,1,1,0,,No strong administrative-activity warning detected.
C-33892,18.57,18.57,2,0,0,,No strong administrative-activity warning detected.
C-30713,18.57,18.57,1,1,0,,No strong administrative-activity warning detected.
C-32941,18.52,18.52,2,1,0,,No strong administrative-activity warning detected.
C-30791,18.39,18.39,0,1,0,,No strong administrative-activity warning detected.
C-30240,18.19,18.19,0,1,0,,No strong administrative-activity warning detected.
C-31176,18.01,18.01,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
