rank,case_id,risk_score,average_payment,monthly_award,maximum_payment,high_payment_months,months_above_award,payment_variability,administrative_activity_flag,administrative_context,explanation
1,C-31298,88.66,1997.21,746.45,2211.51,6,6,0.10085381902021998,0,,"High review priority because the average payment was 2.7 times the recorded monthly award, the largest payment was 3.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, payments were above the recorded award in every month, and monthly payment amounts showed noticeable variation. This is a review signal, not a finding of improper payment."
2,C-32400,86.51,1007.6716666666666,405.4,1162.24,6,6,0.07710587362182467,0,,"High review priority because the average payment was 2.5 times the recorded monthly award, the largest payment was 2.9 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
3,C-33743,86.09,1644.6783333333333,654.1,1825.22,6,6,0.07962537345259382,0,,"High review priority because the average payment was 2.5 times the recorded monthly award, the largest payment was 2.8 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
4,C-32995,83.88,1888.8,778.27,2106.5,6,6,0.07590570721940822,0,,"High review priority because the average payment was 2.4 times the recorded monthly award, the largest payment was 2.7 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
5,C-34050,83.19,1057.3216666666667,437.44,1159.91,6,6,0.07648594331626296,0,,"High review priority because the average payment was 2.4 times the recorded monthly award, the largest payment was 2.7 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
6,C-32502,82.96,1013.7266666666668,435.04,1172.97,6,6,0.09572110296193867,0,,"High review priority because the average payment was 2.3 times the recorded monthly award, the largest payment was 2.7 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
7,C-32367,78.87,1018.705,445.39,1093.73,6,6,0.07140775064865017,0,,"High review priority because the average payment was 2.3 times the recorded monthly award, the largest payment was 2.5 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
8,C-31396,76.19,1383.3083333333334,617.44,1461.12,6,6,0.04625797207464658,0,,"High review priority because the average payment was 2.2 times the recorded monthly award, the largest payment was 2.4 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
9,C-33379,75.66,1372.205,625.25,1446.94,6,6,0.06524160631348724,0,,"High review priority because the average payment was 2.2 times the recorded monthly award, the largest payment was 2.3 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
10,C-30644,74.47,1869.4266666666665,902.73,2080.89,6,6,0.0893459237205418,1,6 contact attempts,"High review priority because the average payment was 2.1 times the recorded monthly award, the largest payment was 2.3 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. Note: this case also has administrative activity (6 contact attempts), which may have a legitimate explanation and should not itself be treated as evidence of improper payment. This is a review signal, not a finding of improper payment."
11,C-33201,72.91,1890.5266666666666,977.78,2189.45,6,6,0.12407503209184496,1,6 contact attempts,"High review priority because the average payment was 1.9 times the recorded monthly award, the largest payment was 2.2 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, payments were above the recorded award in every month, and monthly payment amounts showed noticeable variation. Note: this case also has administrative activity (6 contact attempts), which may have a legitimate explanation and should not itself be treated as evidence of improper payment. This is a review signal, not a finding of improper payment."
12,C-30954,72.83,1729.6233333333332,834.54,1859.51,6,6,0.06682471483328534,0,,"High review priority because the average payment was 2.1 times the recorded monthly award, the largest payment was 2.2 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
13,C-32368,71.23,1062.0466666666666,528.79,1142.21,6,6,0.07067215052543929,0,,"High review priority because the average payment was 2.0 times the recorded monthly award, the largest payment was 2.2 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
14,C-31956,69.11,1035.51,552.7,1168.77,6,6,0.08519448450328616,0,,"High review priority because the average payment was 1.9 times the recorded monthly award, the largest payment was 2.1 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
15,C-33263,66.96,2521.366666666667,1368.13,2729.07,6,6,0.07419593629712491,0,,"High review priority because the average payment was 1.8 times the recorded monthly award, the largest payment was 2.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
16,C-32671,66.26,1625.8233333333335,931.72,1872.06,6,6,0.09388095064232604,0,,"High review priority because the average payment was 1.7 times the recorded monthly award, the largest payment was 2.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
17,C-32724,66.09,1372.6200000000001,794.07,1570.42,6,6,0.10426501064452928,0,,"High review priority because the average payment was 1.7 times the recorded monthly award, the largest payment was 2.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, payments were above the recorded award in every month, and monthly payment amounts showed noticeable variation. This is a review signal, not a finding of improper payment."
18,C-33181,65.96,1409.4316666666666,768.87,1538.34,6,6,0.05176405991373957,1,4 payment adjustments,"High review priority because the average payment was 1.8 times the recorded monthly award, the largest payment was 2.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. Note: this case also has administrative activity (4 payment adjustments), which may have a legitimate explanation and should not itself be treated as evidence of improper payment. This is a review signal, not a finding of improper payment."
19,C-32962,65.65,1840.3783333333333,1017.53,2005.5,6,6,0.06156225809489884,0,,"High review priority because the average payment was 1.8 times the recorded monthly award, the largest payment was 2.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
20,C-31550,65.62,1006.9083333333333,556.82,1099.11,6,6,0.060247756114548946,0,,"High review priority because the average payment was 1.8 times the recorded monthly award, the largest payment was 2.0 times the recorded monthly award, payments exceeded 1.5 times the recorded monthly award in all six months, and payments were above the recorded award in every month. This is a review signal, not a finding of improper payment."
